Record_ID,Timestamp,Latitude,Longitude,Road_ID,Vehicle_Count,Avg_Speed_kmh,Vehicle_Type,Traffic_Density,Weather,Visibility_m,Road_Condition,Accident_Occurred,Accident_Severity,Alert_Generated,temperature,Humidity,Year,Month,Day,Hour,DayOfWeek,Accident_Flag,Alert_Flag
1,2023-10-03 09:50:00,32.00471402,76.97196097,RD-285,419,90,Mixed,Medium,Fog,5663,Under Maintenance,Yes,Major,Yes,31.24,61.12,2023,10,3,9,Tuesday,1,1
2,2019-06-09 08:01:00,10.63273152,77.82865203,RD-384,232,104,Mixed,Very High,Rain,896,Wet,No,None,No,48.52,33.07,2019,6,9,8,Sunday,0,0
3,2020-01-08 01:38:00,12.25816513,88.81018932,RD-282,339,100,Bus,Medium,Storm,9369,Under Maintenance,No,None,No,41.96,43.97,2020,1,8,1,Wednesday,0,0
4,2022-10-18 05:43:00,34.28995023,95.41525335,RD-128,74,63,Car,Low,Clear,2510,Slippery,Yes,Fatal,No,37.96,59.52,2022,10,18,5,Tuesday,1,0
5,2023-06-29 23:11:00,31.69899297,77.67548589,RD-49,187,73,Mixed,Low,Storm,3447,Wet,No,None,No,24.68,48.61,2023,6,29,23,Thursday,0,0
6,2020-03-02 15:55:00,30.47145511,89.65525914,RD-237,186,45,Car,Medium,Snow,8988,Wet,No,None,Yes,24.68,40.91,2020,3,2,15,Monday,0,1
7,2021-12-24 18:54:00,26.0953018,95.7416618,RD-53,41,116,Bike,Medium,Clear,5567,Wet,No,None,Yes,21.74,60.25,2021,12,24,18,Friday,0,1
8,2021-07-19 16:37:00,16.4810515,70.83698156,RD-412,348,72,Car,Medium,Storm,1814,Under Maintenance,No,None,No,45.99,49.37,2021,7,19,16,Monday,0,0
9,2022-12-29 09:36:00,35.10881155,83.34685653,RD-407,74,52,Truck,High,Storm,4515,Under Maintenance,No,None,No,38.03,45.49,2022,12,29,9,Thursday,0,0
10,2018-10-10 12:24:00,22.26419583,68.32376572,RD-72,35,65,Truck,Low,Fog,2851,Wet,No,None,No,41.24,57.84,2018,10,10,12,Wednesday,0,0
11,2018-08-27 23:43:00,16.1379664,91.93016289,RD-63,206,9,Bus,Low,Snow,662,Slippery,No,None,No,20.62,38.0,2018,8,27,23,Monday,0,0
12,2018-03-13 00:20:00,18.60166359,76.31983034,RD-7,419,11,Truck,Low,Clear,828,Wet,No,None,No,49.1,85.66,2018,3,13,0,Tuesday,0,0
13,2020-11-26 00:13:00,8.488389441,77.65025732,RD-32,239,79,Bike,Low,Clear,1442,Slippery,No,None,No,44.97,82.06,2020,11,26,0,Thursday,0,0
14,2020-09-26 07:28:00,15.39961279,87.93132121,RD-426,74,107,Car,High,Clear,6256,Dry,No,None,No,26.37,72.46,2020,9,26,7,Saturday,0,0
15,2019-04-07 03:14:00,13.45072715,90.88621461,RD-400,487,10,Car,Low,Rain,6931,Dry,No,None,No,25.45,36.37,2019,4,7,3,Sunday,0,0
16,2023-10-18 15:12:00,11.93114262,79.59971728,RD-114,250,33,Mixed,Very High,Clear,5510,Dry,No,None,Yes,25.5,76.55,2023,10,18,15,Wednesday,0,1
17,2018-03-18 23:53:00,8.932059802,87.30008196,RD-67,405,55,Mixed,Medium,Rain,7462,Slippery,No,None,Yes,29.13,78.48,2018,3,18,23,Sunday,0,1
18,2022-05-28 21:12:00,14.57938786,95.73427793,RD-102,493,85,Mixed,Low,Fog,3274,Under Maintenance,No,None,No,35.74,76.07,2022,5,28,21,Saturday,0,0
19,2023-08-31 12:39:00,11.00204282,93.72016657,RD-422,301,32,Car,Medium,Rain,5632,Slippery,No,None,No,32.96,36.84,2023,8,31,12,Thursday,0,0
20,2018-04-12 22:53:00,9.309070968,88.33752916,RD-206,161,61,Car,Low,Snow,2445,Slippery,No,None,No,28.74,68.63,2018,4,12,22,Thursday,0,0
